Data Source Name,File Name,File Path,File Type,Step Name,DD Name,DISP,Program Name,Logical Name,Copybook Record Name,Copybook File Path,Access Type,System Program,Data Source Type
AWS.M2.CARDDEMO.TRANREPT,DEFGDGB.jcl,demo/jcl/DEFGDGB.jcl,JCL,STEP05,,,IDCAMS,,,,CREATE,Yes,GDG Base
AWS.M2.CARDDEMO.TRANREPT,REPTFILE.jcl,demo/jcl/REPTFILE.jcl,JCL,STEP05,,,IDCAMS,,,,CREATE,Yes,GDG Base
AWS.M2.CARDDEMO.TRANREPT,TRANREPT.jcl,demo/jcl/TRANREPT.jcl,JCL,STEP10R,TRANREPT,"NEW,CATLG,DELETE",CBTRN03C,,,,,No,GDG Base
AWS.M2.CARDDEMO.TRANSACT.BKUP,COMBTRAN.jcl,demo/jcl/COMBTRAN.jcl,JCL,STEP05R,SORTIN,SHR,SORT,,,,READ,Yes,GDG Base
AWS.M2.CARDDEMO.TRANSACT.BKUP,DEFGDGB.jcl,demo/jcl/DEFGDGB.jcl,JCL,STEP05,,,IDCAMS,,,,CREATE,Yes,GDG Base
AWS.M2.CARDDEMO.TRANSACT.BKUP,TRANBKP.jcl,demo/jcl/TRANBKP.jcl,JCL,STEP05R.PRC001,FILEOUT,"NEW,CATLG,DELETE",IDCAMS,,,,WRITE,Yes,GDG Base
AWS.M2.CARDDEMO.TRANSACT.BKUP,TRANREPT.jcl,demo/jcl/TRANREPT.jcl,JCL,STEP05R.PRC001,FILEOUT,"NEW,CATLG,DELETE",IDCAMS,,,,WRITE,Yes,GDG Base
AWS.M2.CARDDEMO.TRANSACT.BKUP,TRANREPT.jcl,demo/jcl/TRANREPT.jcl,JCL,STEP05R,SORTIN,SHR,SORT,,,,READ,Yes,GDG Base
AWS.M2.CARDDEMO.TRANSACT.COMBINED,COMBTRAN.jcl,demo/jcl/COMBTRAN.jcl,JCL,STEP05R,SORTOUT,"NEW,CATLG,DELETE",SORT,,,,WRITE,Yes,GDG Base
AWS.M2.CARDDEMO.TRANSACT.COMBINED,COMBTRAN.jcl,demo/jcl/COMBTRAN.jcl,JCL,STEP10,TRANSACT,SHR,IDCAMS,,,,READ,Yes,GDG Base
AWS.M2.CARDDEMO.TRANSACT.COMBINED,DEFGDGB.jcl,demo/jcl/DEFGDGB.jcl,JCL,STEP05,,,IDCAMS,,,,CREATE,Yes,GDG Base
AWS.M2.CARDDEMO.TRANSACT.DALY,CBTRN03C.cbl,demo/cbl/CBTRN03C.cbl,COBOL,,TRANFILE,,,TRANSACT-FILE,TRAN-RECORD,demo/cpy/CVTRA05Y.cpy,READ,,GDG Base
AWS.M2.CARDDEMO.TRANSACT.DALY,DEFGDGB.jcl,demo/jcl/DEFGDGB.jcl,JCL,STEP05,,,IDCAMS,,,,CREATE,Yes,GDG Base
AWS.M2.CARDDEMO.TRANSACT.DALY,TRANREPT.jcl,demo/jcl/TRANREPT.jcl,JCL,STEP05R,SORTOUT,"NEW,CATLG,DELETE",SORT,,,,WRITE,Yes,GDG Base
AWS.M2.CARDDEMO.TRANSACT.DALY,TRANREPT.jcl,demo/jcl/TRANREPT.jcl,JCL,STEP10R,TRANFILE,SHR,CBTRN03C,,,,,No,GDG Base
AWS.M2.CARDDEMO.TRANSACT.IMPORT,CBIMPORT.cbl,demo/cbl/CBIMPORT.cbl,COBOL,,TRNXOUT,,,TRANSACTION-OUTPUT,TRAN-RECORD,demo/cpy/CVTRA05Y.cpy,WRITE,,Dataset
AWS.M2.CARDDEMO.TRANSACT.IMPORT,CBIMPORT.jcl,demo/jcl/CBIMPORT.jcl,JCL,STEP01,TRNXOUT,"NEW,CATLG,DELETE",CBIMPORT,,,,,No,Dataset
AWS.M2.CARDDEMO.TRANSACT.VSAM.AIX,TRANBKP.jcl,demo/jcl/TRANBKP.jcl,JCL,STEP05,,,IDCAMS,,,,DELETE,Yes,VSAM AIX
AWS.M2.CARDDEMO.TRANSACT.VSAM.AIX,TRANFILE.jcl,demo/jcl/TRANFILE.jcl,JCL,STEP05,,,IDCAMS,,,,DELETE,Yes,VSAM AIX
AWS.M2.CARDDEMO.TRANSACT.VSAM.AIX,TRANFILE.jcl,demo/jcl/TRANFILE.jcl,JCL,STEP20,,,IDCAMS,,,,CREATE,Yes,VSAM AIX
AWS.M2.CARDDEMO.TRANSACT.VSAM.AIX,TRANFILE.jcl,demo/jcl/TRANFILE.jcl,JCL,STEP25,,,IDCAMS,,,,READ,Yes,VSAM AIX
AWS.M2.CARDDEMO.TRANSACT.VSAM.AIX,TRANFILE.jcl,demo/jcl/TRANFILE.jcl,JCL,STEP30,,,IDCAMS,,,,WRITE,Yes,VSAM AIX
AWS.M2.CARDDEMO.TRANSACT.VSAM.AIX,TRANIDX.jcl,demo/jcl/TRANIDX.jcl,JCL,STEP20,,,IDCAMS,,,,CREATE,Yes,VSAM AIX
AWS.M2.CARDDEMO.TRANSACT.VSAM.AIX,TRANIDX.jcl,demo/jcl/TRANIDX.jcl,JCL,STEP25,,,IDCAMS,,,,READ,Yes,VSAM AIX
AWS.M2.CARDDEMO.TRANSACT.VSAM.AIX,TRANIDX.jcl,demo/jcl/TRANIDX.jcl,JCL,STEP30,,,IDCAMS,,,,WRITE,Yes,VSAM AIX
AWS.M2.CARDDEMO.TRANSACT.VSAM.AIX.DATA,TRANFILE.jcl,demo/jcl/TRANFILE.jcl,JCL,STEP20,,,IDCAMS,,,,CREATE,Yes,VSAM DATA
AWS.M2.CARDDEMO.TRANSACT.VSAM.AIX.DATA,TRANIDX.jcl,demo/jcl/TRANIDX.jcl,JCL,STEP20,,,IDCAMS,,,,CREATE,Yes,VSAM DATA
AWS.M2.CARDDEMO.TRANSACT.VSAM.AIX.INDEX,TRANFILE.jcl,demo/jcl/TRANFILE.jcl,JCL,STEP20,,,IDCAMS,,,,CREATE,Yes,VSAM INDEX
AWS.M2.CARDDEMO.TRANSACT.VSAM.AIX.INDEX,TRANIDX.jcl,demo/jcl/TRANIDX.jcl,JCL,STEP20,,,IDCAMS,,,,CREATE,Yes,VSAM INDEX
AWS.M2.CARDDEMO.TRANSACT.VSAM.AIX.PATH,TRANFILE.jcl,demo/jcl/TRANFILE.jcl,JCL,STEP25,,,IDCAMS,,,,CREATE,Yes,VSAM PATH
