Name,Path,File type,Cyclomatic Complexity,Total lines,Empty Lines,Effective Lines,Comment Lines
CIPAUDTY.cpy,demo/app-authorization-ims-db2-mq/cpy/CIPAUDTY.cpy,CPY,0,55,1,36,18
PAUTBPCB.CPY,demo/app-authorization-ims-db2-mq/cpy/PAUTBPCB.CPY,CPY,0,27,1,10,16
COPAUS2C.cbl,demo/app-authorization-ims-db2-mq/cbl/COPAUS2C.cbl,COB,5,245,18,203,24
CBPAUP0C.cbl,demo/app-authorization-ims-db2-mq/cbl/CBPAUP0C.cbl,COB,42,387,31,266,90
COPAUS1C.cbl,demo/app-authorization-ims-db2-mq/cbl/COPAUS1C.cbl,COB,47,605,97,469,39
DBUNLDGS.CBL,demo/app-authorization-ims-db2-mq/cbl/DBUNLDGS.CBL,COB,25,367,1,211,155
PAUDBLOD.CBL,demo/app-authorization-ims-db2-mq/cbl/PAUDBLOD.CBL,COB,35,370,1,274,95
COPAU00.cpy,demo/app-authorization-ims-db2-mq/cpy-bms/COPAU00.cpy,CPY,0,765,1,748,16
COTRTUPC.cbl,demo/app-transaction-type-db2/cbl/COTRTUPC.cbl,COB,208,1703,1,1429,273
DLIGSAMP.PSB,demo/app-authorization-ims-db2-mq/ims/DLIGSAMP.PSB,PSB,0,24,0,24,0
CCPAURQY.cpy,demo/app-authorization-ims-db2-mq/cpy/CCPAURQY.cpy,CPY,0,37,1,18,18
CBACT04C.cbl,demo/cbl/CBACT04C.cbl,COB,78,653,48,552,53
COCRDSL.bms,demo/bms/COCRDSL.bms,BMS,1,158,1,136,21
XTRNTYPE.ddl,demo/app-transaction-type-db2/ddl/XTRNTYPE.ddl,SQL,0,6,1,5,0
CSDB2RWY.cpy,demo/app-transaction-type-db2/cpy/CSDB2RWY.cpy,CPY,0,47,1,23,23
PASFLDBD.DBD,demo/app-authorization-ims-db2-mq/ims/PASFLDBD.DBD,DBD,0,30,0,30,0
CIPAUSMY.cpy,demo/app-authorization-ims-db2-mq/cpy/CIPAUSMY.cpy,CPY,0,32,1,13,18
COPAUA0C.cbl,demo/app-authorization-ims-db2-mq/cbl/COPAUA0C.cbl,COB,86,1027,103,772,152
